ticker,date,comp,trend,entry,stop,target,exit,outcome,pnl_pct
AKBNK,2024-06-03,5,strong_up,63.3131,59.0775,71.7844,59.0775,stop,-6.69
AKBNK,2024-06-05,5,strong_up,59.3797,55.0603,68.0187,58.7163,timeout,-1.117
AKBNK,2024-06-06,5,strong_up,58.1476,53.9183,66.6062,59.4271,timeout,2.2
AKBNK,2024-06-07,5,strong_up,55.9203,51.7595,64.2418,64.2418,target,14.881
AKBNK,2024-06-25,6,strong_up,61.7493,57.8383,69.5711,57.8383,stop,-6.334
AKBNK,2024-07-02,5,strong_up,59.7589,55.8684,67.5398,63.9766,timeout,7.058
AKBNK,2024-07-03,6,strong_up,62.7444,58.7663,70.7007,62.1284,timeout,-0.982
AKBNK,2024-07-04,6,strong_up,63.9292,59.961,71.8655,59.961,stop,-6.207
AKBNK,2024-07-10,5,strong_up,61.6071,57.7564,69.3083,57.7564,stop,-6.25
AKBNK,2024-09-19,6,strong_up,58.195,55.0706,64.4439,55.0706,stop,-5.369
AKBNK,2024-11-14,6,strong_up,52.5556,49.4777,58.7113,49.4777,stop,-5.856
AKBNK,2024-11-21,6,up,53.9299,50.6798,60.43,60.43,target,12.053
AKBNK,2024-12-11,6,up,60.5171,57.2514,67.0486,57.2514,stop,-5.396
AKBNK,2024-12-25,5,up,62.1758,59.0097,68.508,59.0097,stop,-5.092
AKBNK,2025-01-13,6,strong_up,59.9958,56.8391,66.3093,60.4697,timeout,0.79
AKBNK,2025-01-14,6,strong_up,59.8063,56.6364,66.146,66.146,target,10.6
AKBNK,2025-01-23,6,strong_up,64.64,61.6302,70.6596,61.6302,stop,-4.656
AKBNK,2025-01-27,6,strong_up,63.2183,60.2525,69.15,60.2525,stop,-4.691
AKBNK,2025-02-04,5,strong_up,62.3653,59.3522,68.3915,59.3522,stop,-4.831
AKBNK,2025-02-14,5,strong_up,61.5123,58.7883,66.9602,66.9602,target,8.857
AKBNK,2025-03-03,5,strong_up,69.1895,66.0303,75.508,66.0303,stop,-4.566
AKBNK,2025-06-03,5,up,53.8249,50.9734,59.5279,59.5279,target,10.595
AKSEN,2024-06-03,5,strong_up,45.0191,42.6828,49.6918,44.98,timeout,-0.087
AKSEN,2024-06-04,5,strong_up,45.058,42.7593,49.6553,42.7593,stop,-5.102
AKSEN,2024-07-02,5,strong_up,42.34,39.8891,47.2419,42.7,timeout,0.85
AKSEN,2024-07-03,5,strong_up,42.62,40.2541,47.3518,42.86,timeout,0.563
AKSEN,2024-07-04,5,strong_up,43.14,40.8274,47.7652,43.6,timeout,1.066
AKSEN,2024-07-05,5,strong_up,43.8,41.5562,48.2877,43.8,timeout,0.0
AKSEN,2024-07-08,5,strong_up,42.8,40.5964,47.2071,42.74,timeout,-0.14
AKSEN,2024-07-11,5,strong_up,43.46,41.385,47.6099,41.385,stop,-4.775
AKSEN,2024-09-26,7,strong_up,39.52,37.6486,43.2629,37.6486,stop,-4.735
AKSEN,2024-11-29,5,up,35.66,34.112,38.756,35.96,timeout,0.841
AKSEN,2024-12-02,5,up,35.9,34.3512,38.9977,35.42,timeout,-1.337
AKSEN,2024-12-16,5,up,36.02,34.5578,38.9445,38.9445,target,8.119
AKSEN,2025-01-13,5,up,39.5,37.8138,42.8724,39.14,timeout,-0.911
AKSEN,2025-01-14,5,up,39.66,37.9678,43.0444,38.86,timeout,-2.017
